,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Text_ID,Dominant_Topic_ID
10,10,6.0,0.701200008392334,"video chanting racist words went, tasted outrage public video chanting, montgomery county middle school kids, middle school kids tasted outrage, kids tasted outrage public video, public video chanting racist words, outrage public video chanting racist, county middle school kids tasted, school kids tasted outrage public, chanting racist words went viral",Unapologetically melaneted Kings and Queens are powerful together. Join us!,document #: 10,topic #: 6.0
11,11,5.0,0.1923000067472458,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Watch this heart-piercing story about a racial bias that might cause law
enforcement officers to shoot innocent and unarmed black people.",document #: 11,topic #: 5.0
12,12,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","You won‘t see this image Circulating on social media, because it‘s too positive
for America.",document #: 12,topic #: 5.0
13,13,5.0,0.1923999935388565,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Are you ready for anti-Trump meetups?
Are you ready to voice your concerns?

Click here to get prepaired!
#NotMyPresident STOP TRUMP! STOP RACISM! Buying these t—shirts you

donate to the events against hate and racism. #NotMyPresident BM",document #: 13,topic #: 5.0
14,14,5.0,0.1923999935388565,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Father of the mentally ill Black man killed in the El Cajon shooting last month,
Richard Olango, has established a police-reform foundation. El Cajon
Shooting: Father of Alfred Olango Sets Up Foundation | BM BM",document #: 14,topic #: 5.0
15,15,5.0,0.19249999523162842,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","People are genuinely scared for their futures!
Racism won, Ignorance won, Sexual assault won

STOP TRUMP! STOP RACISM! JOIN THE PROTEST at Union Sq. Saturday
12 PM

Bring signs, snacks, water! Trump is NOT my President",document #: 15,topic #: 5.0
16,16,3.0,0.9944000244140625,"melanin blackpride blackout america blackscience, blackpride blackout america blackscience education, blackout america blackscience education diversity, blackcommunity melanin blackpride blackout america, blackexcellence blackperfection blackbeauty blackbusiness africanamerican, blackbusiness africanamerican blackcommunity melanin blackpride, blackbeauty blackbusiness africanamerican blackcommunity melanin, africanamerican blackcommunity melanin blackpride blackout, blackperfection blackbeauty blackbusiness africanamerican blackcommunity, blackperfeotion blackbeauty blackbusiness africanamerioan blackoommunity","Fellow Texans! It's time to say a strong NO to the establishment robbers. It is
unacceptable for us to see them ruin all we've been building for decades. For
centuries. The establishment thinks they can treat us like stupid sheep but
they are wrong. We won’t put up with this anymore. The corrupt media does
not talk about the crimes committed by Killary Rotten Clinton, neither does it
mention the leaked emails but it would rather keep on kicking around some
outdated tapes featuring Trump. Even Republicans are now offering her a
victory by renouncing their nominee. What is this if not treason? No, no, no.
We are free Citizens of Texas and we’ve had enough of this Cheap show on
the screen. We're ready to prove our commitment to liberty, low taxes and
gun rights. If Trump wins, there will be a possibility to secede peacefully but
not without tension. What will happen if Hitlery becomes President? Higher
taxes to feed undocumented aliens. More refugees, mosques, and terrorist
attacks. Banned guns. Continuing economic depression. Let’s remind them
what Texas is made of and show that we’re ready to SECEDE!

Use our page to team up with other locals. Invite your friends and family,
spread the word and let's make this effort together! Get Ready to Secedel",document #: 16,topic #: 3.0
17,17,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https",Black community dedicated to bIaCk-owned businesses Black4Black,document #: 17,topic #: 5.0
18,18,5.0,0.9872999787330627,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Hillary Clinton is a traitor! Hillary Clinton is a liar! Hillary Clinton is insane! I
know that many black people support this old dirty bitch. I don’t know why
they do this, still it’s their personal choice and we are a free country yet. But,
listen to my word of truth and don’t let them fool you.

Subscribe to our Channel:
https://www.youtube.com/ChannellUCszPCwUDPvDCR6VRaOCDtg

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin
Follow me on Instagram: https://www.instagram.Com/williams.and.kalvin

Follow me on Twitter: httpszlltwitter.com/Williams8kalvin",document #: 18,topic #: 5.0
19,19,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Happy Birthday, Nia! You look fantastic!",document #: 19,topic #: 5.0
