,description,image,tag,Left,Right,Violence,Apathy
165,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/3ec8c95da8a5902e69545fef1df615f6.png,blue|gun|Heart of Texas|illustration|Joy|Love|non-partisan|red|white,0,1,1,0
166,This sums up my thoughts on gun control.,https://mith.umd.edu/irads/files/original/336ab4cb9b6abf4f2ce22cf66303cb17.png,black|brown|cowboy|cowgirl|famous person|gun|guns|illustration|Joy|non-partisan|popular culture|Stand for Freedom|white,0,1,1,0
177,"Do everything in your power to Change the society we live in and fight to
protect our Children.",https://mith.umd.edu/irads/files/original/59ae366b1d4a458e3639433af144f8d4.png,Anger|black|blacklivesmatter|blue|BM|Fear|guns|illustration|non-partisan|police brutality|race|racial tensions|U.S. Flag|white,1,0,1,0
181,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/280d0f6b7eadd00c7c6558a8273a8bb6.png,2nd Amendment|black|Defend the 2nd|guns|Joy|patriotism|photograph|white,0,1,1,0
184,"Do everything in your power to Change the society we live in and fight to
protect our Children.",https://mith.umd.edu/irads/files/original/ec2d37f31c89cfae1443103ee56ef4c3.png,Anger|black|blacklivesmatter|BM|civil rights|darkness and light|Fear|guns|illustration|Joy|police brutality|race|U.S. Flag|white,1,0,0,1
186,"Boston police shot and killed a man wearing body armor and wielding an
assault rifle who critically injured two officers responding to a domestic
disturbance call late Wednesday, according to Police Commissioner William
Evans.

A gun battle raged at an East Boston home as a suspect, Kirk Figueroa, 33,
of East Boston, critically injured two Boston police officers late on October
12.He was then shot and killed by other officers who ran into the home to
drag out their wounded colleagues while undergoing heavy gunfire
themselves.

This bloody massacre is a vivid example of the fact that the war with police is
too far from being OVER. It’s only coming and the consequences will be
destructive if Hillary Clinton, the main hardliner against oops, will become the
President of the United States.

Defending the police against liberal and racist accusations is a solemn duty of
every American Patriot. Recent spate of cop killings indicates that American
national identity is undermined and replaced by ridiculous social experiments
liberal elites are constantly setting up on the country.

Democrats are unable to secure the police from attacks of extremist
movements like Black Lives Matter. The Nation must unite against reverse
racism, against those who want to destroy America!

Among all the candidates Donald Trump is the one and only who can defend
the police from terrorists.",https://mith.umd.edu/irads/files/original/3d4cb1dbea52ccecae42ca036290b6ec.png,Anger|Being Patriotic|black|blue|coffin|gun|patriotism|photograph|Sadness|U.S. Flag,0,1,1,0
203,This sums up my thoughts on gun control.,https://mith.umd.edu/irads/files/original/78bd99b9f3366b4418f6242f29b31f49.png,2nd Amendment|black|brown|famous person|freedom|gun|guns|Joy|painting|Stand for Freedom|yellow,0,1,1,0
225,"At the Last Supper Jesus says:

He said to them, “But now if you have a purse, take it, and also a bag; and if

you don’t have a sword, sell your Cloak and buy one.”
— Luke 22:36

What does that mean? Jesus always stood for peace and non-violence. But

enemies often issued threats towards Him and His disciples. There's always

was a risk for them to be arrested and subjected to a great violence, and be

followed with rage and persecution; so that they might seem to stand in need
of swords to defend them: the phrase is expressive of the danger they would
be exposed to, and of their need of protection.

And we, American Christians, should remember about it. Sometimes you
have to arm yourself to protect your loved ones and friends.",https://mith.umd.edu/irads/files/original/a0fa5af75365d2e11fd2252e82e01fa4.png,Army of Jesus|blue|Fear|gun|patriotism|red|religion|religious figure|text|U.S. Flag|white,0,1,1,0
234,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/ac6cf4cef5b2f4f48ed633a8aa8c0800.png,blue|freedom|gun|Heart of Texas|illustration|Joy|non-partisan|red|Texas|text|white,0,1,1,0
266,"Yet the death of another Black man has been recorded in the bloody books of
the law enforcement. Read our research folloing the link. A police officer shot
and killed Darius Wimberly in the awe hours of Tuesday while attending to a
911 call. Officer Shot And Killed Black Man In Benton Harbor| BM BM",https://mith.umd.edu/irads/files/original/a280e9477687c4528557082c5c3c5962.png,Anger|black|Black Matters|blacklivesmatter|blue|BM|civil rights|common folks|crime|darkness and light|empowerment|equality|Fear|freedom|gun|illustration|Joy|meme|non-partisan|photograph|police brutality|race|racial identities|racial tensions|red|religion|sacred|Sadness|security|U.S. Flag|United Muslims of America|white|world of possibilities|yellow,1,0,0,1
