,description,image,tag,Left,Right,Violence,Apathy
712,"A young black guy who was mentally disabled decided to end his life, but will
only do that by making the cops kill him. This is absolutely insane in the
highest order. He took a gun and ordered his other two brothers to take a
video of the whole incident. Michael Ford, at the police vicinity opened fire
and got the cop’s attention. The filming was still in process as he
commanded. The first cops who appeared fired back and almost immediately
ended up drawing fire. He gave the other officer a Chance to get into position
when he opened fire. It’s quite not understandable why his own cop shot him
and shot the mentality i| man too. This is a good example of sick reality too. Is
there any explanation why cops have started shooting each other?

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin

Subscribe to my YouTube Channel:
https://www.youtube.com/ChannellUCszPCwUDPvDCR6VRaOCDtg

Follow me on Twitter: https://twitter.oom/Williams8kalvin",https://mith.umd.edu/irads/files/original/5242d3ba04ea9f56b3eaa3f1ddd4c2db.png,black|blue|gun|photograph|police brutality|race|racial identities|Sadness|white|Williams&Kalvin,1,0,0,1
715,"A young black guy who was mentally disabled decided to end his life, but will
only do that by making the cops kill him. This is absolutely insane in the
highest order. He took a gun and ordered his other two brothers to take a
video of the whole incident. Michael Ford, at the police vicinity opened fire
and got the cop’s attention. The filming was still in process as he
commanded. The first cops who appeared fired back and almost immediately
ended up drawing fire. He gave the other officer a Chance to get into position
when he opened fire. It’s quite not understandable why his own cop shot him
and shot the mentality i| man too. This is a good example of sick reality too. Is
there any explanation why cops have started shooting each other?

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin

Subscribe to my YouTube Channel:
https://www.youtube.com/ChannellUCszPCwUDPvDCR6VRaOCDtg

Follow me on Twitter: https://twitter.oom/Williams8kalvin",https://mith.umd.edu/irads/files/original/6879cc57d93b5c9501cc83c513da4853.png,black|gun|orange|photograph|police brutality|race|racial identities|Sadness|white|Williams&Kalvin,1,0,0,1
750,"It happens throughout the centuries. Black people are being oppressed and it
seems that Govt simply treats us as their slaves. Get breaking news and
analysis on the life of African American community in the US. Black Matters
Blackluive",https://mith.umd.edu/irads/files/original/2489b6c93b563ec0e6a40665b311f02d.png,_born__black_|Anger|black|common folks|crime|Fear|guns|illustration|non-partisan|police brutality|race|racial tensions|red|Sadness|U.S. Flag|yellow,1,0,0,1
777,"10 years later. No Changes! Hundreds of Americans have held
demonstrations in San Francisco to protest police fatal shooting of
#MarioWoods last month. Click to Learn More Cop Block Us AmericanCops",https://mith.umd.edu/irads/files/original/63bbf1cbfa12a37a6658447a1de1d9b5.png,Anger|badge|black|blue|cop_block_us|crime|guns|non-partisan|orange|photograph|police brutality,1,0,0,1
779,We run this community because we care...,https://mith.umd.edu/irads/files/original/72852a5132eb6af4a38d73e981bffdd6.png,Anger|badge|black|blue|crime|Don't Shoot|Fear|guns|non-partisan|police brutality|text|U.S. Flag|world of possibilities|yellow,1,0,1,0
781,"They came for the Children, but I had no small Children so I didn't stand up.
They came for the ranchers, but I'm not a rancher so I didn't stand up. They
came for the guns, but I don't have any guns so I didn't stand up. They came
after the people who speak out against to tyranny, but I don't speak out so I
didn't stand up. They came after me, and there was no one left to stand up.
My friends, if you have never stood for anything now is the time. Look around
you, how much freedom do you have? What we have now is NOT what our
forefathers wanted for us.

(The text by John McClain)

Join the secession rally and help Republic of Texas to raise from the ashes!
https://www.facebook.com/groups/418006265076223/",https://mith.umd.edu/irads/files/original/91aa1c0208b103430fae072ca586de70.png,badge|blue|freedom|gun|Heart of Texas|nation|non-partisan|patriotism|photograph|Texas|text|tyranny|voting|white|yellow,0,1,1,0
782,We want to grow and not being shot! Join us!,https://mith.umd.edu/irads/files/original/407d0771798dc630427ed53153089ea1.png,Anger|badge|black|blue|crime|Don't Shoot|Fear|guns|non-partisan|police brutality|text|U.S. Flag|world of possibilities|yellow,1,0,0,1
791,"We are not against police, we against police brutality!",https://mith.umd.edu/irads/files/original/a4c45aa3594b0ec46396d18f9ece92c8.png,Anger|black|blue|crime|darkness and light|Don't Shoot|guns|illustration|non-partisan|police brutality|red,1,0,0,1
792,"ls here anyone from Glendale, Arizona? WE NEED YOU! HELP US to protect
the memory of the victims of hate!

Last week on Friday, May Kieu and Dorothy Dutiel, both 15-year-old
sophomores at Independence High School in Glendale, each died of a single
gunshot wound about 8 am. just outside the school’s cafeteria. The girls
were a couple. Police are calling it a murder-suicide. This heart-breaking
incident is all over the news and the comments are disgusting! Homophobes
use the incident as a proof that love is a sin!

This is just ignorance! Two Children died and people are grieving! How would
you feel if strangers came to your neighborhood or your school to push their
agenda? These people are just aggravating the situation and traumatizing

other KIDS!

If you live in Glendale, Arizona, please, come and support us today: 6602 N
75th Ave,Glendale, AZ 85303. LET'S STAND UP AGAINST BIGOTRY! If you

are not from Glendale, please, SHARE this post! Let people know we support

them!
P.S. please, send us photos from the event.",https://mith.umd.edu/irads/files/original/a3db6b45cc7582afa8fa280e1c9362ac.png,black|civil rights|gender|gun|LGBT United|LGBTQ|magenta|non-partisan|redacted|Sadness|world of possibilities,1,0,1,0
793,We want to live in the country with no fear!,https://mith.umd.edu/irads/files/original/f599828df72ce488d76945be70b30b8e.png,Anger|badge|black|blue|crime|Don't Shoot|Fear|guns|non-partisan|police brutality|text|U.S. Flag|world of possibilities|yellow,1,0,0,1
794,"ONLY TWO DAYS before the Secession Rally.
Let's make it HUGE! Join the rally here

Download hiih resolution banners to irint them out here",https://mith.umd.edu/irads/files/original/1d62455f43fbe540a6f67118038b7c09.png,blue|Confederacy|Confederate flag|guns|Heart of Texas|nation|painting|red|soldiers|Texas|war|white,0,1,1,0
810,"Black Community! We finally made a website! News about black racial and

social issues. This happened yesterday, Feb. 2, at a dry Cleaning shop in a
black neighborhood, when this black guy went for his Clothes he had already

sent for laundry. “What do you mean by you people?” The black guy asked.
There was a murmur from inside the shop; the dry Cleaner answered “those

who are arguing m... Black Matters The Police should protect not Brutalize
Ideally Black Women... S. F. Police Vow To Eradicate Racism Plans to fight
racism in the ranks. Black History Month The event grew out of “Negro
History Week,” the brainchild Black Matters",https://mith.umd.edu/irads/files/original/8d4d1e5e0f26533826f9e89fb6a963b8.png,badge|black|Black Matters|guns|non-partisan|photograph|police brutality|race|racial tensions|white,1,0,1,0
813,We want to live in the country with no fear!,https://mith.umd.edu/irads/files/original/39885efda793317955060bffdca7725a.png,black|Don't Shoot|Fear|guns|non-partisan|red,1,0,0,1
814,"It's not about who is ""good"" and ""bad"" it's about what is right!",https://mith.umd.edu/irads/files/original/f702d00216ddd26a453d9d0860f5bb44.png,black|Don't Shoot|Fear|guns|non-partisan|red,1,0,1,0
816,We run this community because we care...,https://mith.umd.edu/irads/files/original/2b1b2012c392ee1b2f29302907d4509a.png,black|Don't Shoot|Fear|guns|non-partisan|red,1,0,1,0
819,"ls here anyone from Glendale, Arizona? WE NEED YOU! HELP US to protect
the memory of the victims of hate!

Last week on Friday, May Kieu and Dorothy Dutiel, both 15-year-old
sophomores at Independence High School in Glendale, each died of a single
gunshot wound about 8 am. just outside the school’s cafeteria. The girls
were a couple. Police are calling it a murder-suicide. This heart-breaking
incident is all over the news and the comments are disgusting! Homophobes
use the incident as a proof that homo love is a sin!

This is just ignorance! Two Children died and people are grieving! How would
you feel if strangers came to your neighborhood or your school to push their
agenda? These assholes are just aggravating the situation and traumatizing

other KIDS!

If you live in Glendale, Arizona, please, come and support us today: 6602 N
75th Ave,Glendale, AZ 85303. LET'S STAND UP AGAINST BIGOTRY! If you
are not from Glendale, please, SHARE this post! Let people know we support
them!

P.S. please, send us photos from the event.",https://mith.umd.edu/irads/files/original/40837115e04f6585021189426020f1b1.png,black|crime|gender|gun|LGBT United|LGBTQ|magenta|non-partisan|photograph|Sadness|text,1,0,1,0
820,We want to grow and not being shot! Join us!,https://mith.umd.edu/irads/files/original/dfa3c8ae0daf12eaefc2f84565c929d3.png,black|Don't Shoot|Fear|guns|non-partisan|red,1,0,0,1
821,"ls here anyone from Glendale, Arizona? WE NEED YOU! HELP US to protect
the memory of the victims of hate!

Last week on Friday, May Kieu and Dorothy Dutiel, both 15—year—old
sophomores at Independence High School in Glendale, each died of a single
gunshot wound about 8 am. just outside the school’s cafeteria. The girls
were a couple. Police are calling it a murder—suioide. This heart—breaking
incident is all over the news and the comments are disgusting! Homophobes
use the incident as a proof that homo love is a sin!

This is just ignorance! Two Children died and people are grieving! How would
you feel if strangers came to your neighborhood or your school to push their
agenda? These assholes are just aggravating the situation and traumatizing
other KIDS!

If you live in Glendale, Arizona, please, come and support us today: 6602 N
75th Ave,GIendaIe, AZ 85303. LET'S STAND UP AGAINST BIGOTRY! If you
are not from Glendale, please, SHARE this post! Let people know we support
them!

P.S. please, send us photos from the event.",https://mith.umd.edu/irads/files/original/e40099009dd564e53140768413096d38.png,crime|gender|gun|LGBT United|LGBTQ|non-partisan|redacted,1,0,1,0
828,"If a Republican doesn’t like guns he doesn’t buy one. If a Democrat doesn’t
like guns he wants all guns outlawed. We all know the Supreme Court is now
under a threat of receiving anti-gun majority ofjudges. Only a conservative
President can stop this madness.

Don’t let the Democraps take away your Constitutional right! Vote
Republican, vote Trump, and support the Second Amendment!",https://mith.umd.edu/irads/files/original/df47da239d46743a3d1e3b9eaa8edc7b.png,2nd Amendment|Anger|Being Patriotic|black|blue|civil rights|Conservative|crime|Democrat|gun|guns|patriotism|photograph|red|Republican|text|Trump|U.S. Flag,0,1,1,0
834,"Take care of our vets, not illegals. Like to join!",https://mith.umd.edu/irads/files/original/f8bfd4faff6d2fa6f508d7e7cc87d586.png,Anger|black|city on a hill|civil rights|green|guns|illegals|nation|non-partisan|photograph|red|soldiers|Stop A.I.|text|U.S. Flag|veterans|war,0,1,1,0
855,We run this community because we care...,https://mith.umd.edu/irads/files/original/688f916e3d5e6b171b514a2ffb990814.png,Anger|black|crime|Don't Shoot|guns|illustration|red|white,1,0,1,0
864,"Wow, this kind of gun control could prevent dangerous mentally ill idiots from
buying guns! Isn’t it the great Democratic desire to “secure the society”?

Speaking seriously: only two kinds of people shouldn’t be allowed to bear
arms: criminals and psychopaths. Since we are none of those — never dare to

take our rights and guns away!",https://mith.umd.edu/irads/files/original/2d1871e8d9a3cd028f754a2355e8080e.png,Anger|Being Patriotic|black|crime|gun|guns|patriotism|photograph|red|voting|white,0,1,1,0
922,"We are not against police, we against police brutality!",https://mith.umd.edu/irads/files/original/35adb3ff8e194e257a4624a676f58924.png,Anger|black|crime|Don't Shoot|guns|illustration|red|white,1,0,0,1
933,We want to live in the country with no fear!,https://mith.umd.edu/irads/files/original/0a645ae829af4e0072d53baa7a47f6c6.png,Anger|black|darkness and light|Don’t Shoot|Fear|guns|illustration|red,1,0,0,1
939,"It's not about who is ""good"" and ""bad"" it's about what is right!",https://mith.umd.edu/irads/files/original/4b8a7455f89d80054defb4258b316898.png,Anger|black|blue|darkness and light|Don’t Shoot|guns|illustration|red,1,0,1,0
950,This page is dedicated to protection against illegal immigrants! Like to join!,https://mith.umd.edu/irads/files/original/44cdedefc5552da217aaf95467828626.png,Anger|black|Fear|green|guns|illegal immigration|immigration|invader|meme|nation|red|soldiers|Stop A.I.|U.S. Flag,0,1,1,0
961,The nation without borders is not a nation at all. Like to join!,https://mith.umd.edu/irads/files/original/451639d1e5725063ad4d3e18f4367c95.png,Anger|black|green|guns|illegal immigration|immigration|meme|nation|patriotism|red|soldiers|Stop A.I.|U.S. Flag|war,0,1,1,0
967,"Close the borders until it's too late.
Like to join!",https://mith.umd.edu/irads/files/original/693e51a7608d9f0ccbc8f38ee7248199.png,Anger|black|borders|green|guns|immigration|invader|meme|nation|patriotism|red|soldiers|Stop A.I.|U.S. Flag|war,0,1,1,0
976,"If you want to save America, you're a part of us.
Like to join!",https://mith.umd.edu/irads/files/original/0a34615cb450a7a0ead0741de7377ced.png,black|green|guns|patriotism|photograph|soldiers|Stop A.I.|U.S. Flag,0,1,1,0
1001,"A rally in loving memory of Aiyana Jones

May 16 will mark the sixth anniversary of the br The 6th Anniversary Of The
Aiyana Jones’ Death",https://mith.umd.edu/irads/files/original/1737f7bd690a1dd2d3a6ddc51fa2825f.png,Anger|black|blue|green|guns|illegal immigration|illegals|immigration|infestation|photograph|soldiers|Stop A.I.|U.S. Flag|veterans,1,0,0,1
1003,"Take care of our vets, not illegals. Like to join!",https://mith.umd.edu/irads/files/original/865c8943faa11a1ea0b1c2283645892e.png,Anger|black|blue|green|guns|illegal immigration|illegals|immigration|infestation|photograph|soldiers|Stop A.I.|U.S. Flag|veterans,0,1,1,0
1006,Conservative Christians. Pro—Iife/ gun/ police/ military. Follow!,https://mith.umd.edu/irads/files/original/b0e984aebeb8520bb7fabdc909329230.png,army_of_jesus|black|Conservative|Fear|gun|illustration|red|religion|religious figure|sacred,0,1,1,0
1037,"Every American’s right to bear arms is absolutely sacred, period. All the
liberal attacks on it are very worrying because the Amendment was not only
made for self defense — it is a nation’s ability to overthrow the tyranny. A
Government that doesn’t trust its Citizens to possess weapons can never
receive mutual trust or respect. And that’s what things are now — there’s a
great mistrust between the people and the country Administration and the
only way for our “leaders” to establish relations with Americans is to stop all

attacks on the Second Amendment.",https://mith.umd.edu/irads/files/original/5cb8de673a7dc9040ad1935d9bb290bb.png,2nd Amendment|Anger|bald eagle X2|Being Patriotic|black|blue|guns|illustration|Liberal|patriotism|red|the people|tyranny|U.S. Flag|white,0,1,1,0
1047,We want to grow and not being shot! Join us!,https://mith.umd.edu/irads/files/original/08fb959553cb1b6038553defddd3cf5b.png,black|crime|darkness and light|Don't Shoot|Fear|guns|illustration|red|text|white,1,0,1,0
1048,"For the first time in American history, the leading candidate for the Democrat
party is running on a platform that would prohibit the private ownership [or
outright confiscation] of firearms. As a candidate, Hillary has already stated
that the 2nd Amendment does not apply to us.

It is an assault on our Constitution, the very basics of America. Why does she
call herself a Democrat, her anti-American ambitions are more likely to look
like socialism and tyranny, not even Close to Democracy.

We are terrified by a possibility of having Hillary as a President. She’ll never
stop on the Second Amendment. And if she wins, if she manages to disarm
Americans — get ready to say “good bye” to the First and the Fourth
Amendments either.",https://mith.umd.edu/irads/files/original/a4551d498e4d93d8709ec88aaaa70bac.png,2nd Amendment|Anger|Being Patriotic|blue|brown|can't trust the Clintons|Clinton|Constitution|darkness and light|Democrat|gun|guns|meme|patriotism|red|tyranny|U.S. Flag|voting|white,0,1,1,0
1050,The nation without borders is not a nation at all. Like to join!,https://mith.umd.edu/irads/files/original/e34e0fc32ee4a36075c53d821d89ff9b.png,Anger|black|borders|green|guns|infestation|Joy|nation|patriotism|photograph|soldiers|Stop A.I.|U.S. Flag|war,0,1,1,0
1082,Repost from —,https://mith.umd.edu/irads/files/original/2eab7d383f3f384ea4e7545b0089fb47.png,black|Black guns matter|race|redacted,1,0,1,0
1083,"When 30 or 40 round mags no longer do and a 75 round drum is the only
way.

Repost from —",https://mith.umd.edu/irads/files/original/09ca9d4ad8c7fbf440597aef677175bd.png,black|Black guns matter|race|redacted,1,0,1,0
1097,"Truer words were never spoken. The importance of understanding the 2nd
amendment and exercising that right can't be overstated. Let's do what's right
and educate ourselves.",https://mith.umd.edu/irads/files/original/92b4bac844ae92a8f3a2918ee6c6875b.png,2nd Amendment|Anger|black|Black guns matter|darkness and light|famous person|gun|photograph|race|racial identities|text|white,0,1,1,0
1101,Support our Veterans! Veterans Come First,https://mith.umd.edu/irads/files/original/aa6cccf4adf19459854c253e48396feb.png,black|blue|city on a hill|darkness and light|guns|illustration|Joy|nation|patriotism|red|soldiers|U.S. Flag|veterans|Veterans Come First|war|white,0,1,1,0
1103,(better don't do that),https://mith.umd.edu/irads/files/original/9db60d73ef6fc7943bc0500c28cbaa26.png,2nd Amendment|Anger|black|Defend the 2nd|Fear|gun|guns|meme|purple|white,0,1,1,0
1106,Support our Veterans!,https://mith.umd.edu/irads/files/original/2e247024408f52ebb8185e09541376c8.png,black|blue|city on a hill|darkness and light|guns|illustration|Joy|nation|patriotism|red|soldiers|U.S. Flag|veterans|Veterans Come First|war|white,0,1,1,0
1117,"My wife doing some dry fire training. Let's give a SALUTE ??to all the Sista's
that shoot!",https://mith.umd.edu/irads/files/original/fb1cc176c3c9cb1c1528466d052536a7.png,Black guns matter|gun|Joy|race|redacted|Surprise,1,0,1,0
1119,Masterpiece!,https://mith.umd.edu/irads/files/original/b7fc4f4af1ef3648c655b0e4c6703009.png,2nd Amendment|black|Defend the 2nd|gun|Joy|meme|red|white|wut|yellow,0,1,1,0
1120,"We support the 2nd Amendment! Join us, if seIf-defense is your priority! Black
Guns Matter",https://mith.umd.edu/irads/files/original/97b7b71380a237affc89542250997c54.png,2nd Amendment|black|Black guns matter|darkness and light|gun|Joy|race|racial identities|red|redacted|text|white,1,0,1,0
1128,"The community of 2nd Amendment supporters, guns lovers & patriots",https://mith.umd.edu/irads/files/original/bd445c2de56efca357e63bb86718e3dd.png,2nd Amendment|black|blue|darkness and light|Defend the 2nd|gun|guns|illustration|Joy|Love|patriotism|text|white,0,1,1,0
1137,"The day time cool but the nights evil ?

Repeat from —",https://mith.umd.edu/irads/files/original/bea2f0f0029e9dce97122c3f7c6fdcc2.png,Black guns matter|redacted,1,0,1,0
1146,"Protect the 2nd. Without it, you won't have any others! Join! Defend The 2nd",https://mith.umd.edu/irads/files/original/27ed34043910ce5cbc15526edc2ba110.png,2nd Amendment|black|Defend the 2nd|guns|photograph|text|white,0,1,1,0
1152,"You feel safe with a gun and even safer when your lady's woke on the 2nd.
Protect yourselves!",https://mith.umd.edu/irads/files/original/84a53004ebae864f9e1b57dd60b581af.png,Black guns matter|gun|race|racial identities|redacted,1,0,1,0
1155,Masterpiece!,https://mith.umd.edu/irads/files/original/e73978d8faa018db5a2e2b517b4d96f1.png,2nd Amendment|black|Defend the 2nd|guns|Joy|orange|photograph|text|white,0,1,1,0
1158,"Protect the 2nd. Without it, you won't have any others! Join! Defend The 2nd",https://mith.umd.edu/irads/files/original/3b752e2ccc6d8c8cc3f80811129565a7.png,2nd Amendment|black|Defend the 2nd|guns|illustration|text|white,0,1,1,0
1163,Masterpiece!,https://mith.umd.edu/irads/files/original/ce7ed71d80d5ad4a1a515968d3df26fc.png,2nd Amendment|black|darkness and light|Defend the 2nd|green|gun|guns|Joy|meme|red|Surprise|white,0,1,1,0
1182,"The community of 2nd Amendment supporters, guns lovers & patriots",https://mith.umd.edu/irads/files/original/576e05a8a718601e4dee7b1491fb2632.png,2nd Amendment|black|civil rights|Defend the 2nd|gun|illustration|Joy,0,1,1,0
1189,My face when I am unbothered and not afraid of the racist system.,https://mith.umd.edu/irads/files/original/c508fb91278b76138264df4753fb7154.png,black|Blacktivist|civil rights|darkness and light|guns|Humor|photograph|police brutality|race|racial tensions|text|white,1,0,1,0
1194,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/7fb03d00580405c8ba241024b38968e8.png,2nd Amendment|black|blue|city on a hill|Defend the 2nd|gun|guns|Joy|nation|patriotism|photograph|red|U.S. Flag|white,0,1,1,0
1210,"Bibles, guns and disease...",https://mith.umd.edu/irads/files/original/46147e2b1acaad2b94b17934fb3eb226.png,Anger|black|brown|Brown Power|gun|immigration|nation|photograph|race|racial identities|Sadness|text,1,0,0,1
1261,"Like if you're thinking: ""Wish it was all mine..."" :D",https://mith.umd.edu/irads/files/original/296b8923be7d356ba87fdb730d6afcb1.png,black|civil rights|Defend the 2nd|guns|Humor|Joy|meme|nation|orange|photograph|war|yellow,0,1,1,0
1266,"Protect the 2nd. Without it, you won't have any others! Join! Defend The 2nd",https://mith.umd.edu/irads/files/original/769bfeb933a903b0fd9d799acb40358a.png,2nd Amendment|black|Defend the 2nd|gun|guns|illustration|Joy,0,1,1,0
1301,"Our politicians should never forget that. We’ve been watching our military
commandership wasting lives of American soldiers for too long, let’s hope it
will end now when Trump is in Charge.

A new Marine Corps artillery unit was sent to assist Syrian opposition in
Raqqa, according to Army Maj. Josh T. Jacques, a spokesman for US.
Central Command. The artillery unit recently replaced about 400 Marines from
the 11th Marine Expeditionary Unit, which provided artillery support to Kurdish
and Syrian Arab forces expected to launch an offensive against Raqqa.

We must deal with ISIS and end the terrorist threat once and for all.
Unfortunately that’s hardly possible because of the corruption in the
Government. The Swamp in DC is still not drained from people like Senator
McCain, and that’s why our troops not only focus on defeating terrorism, but
also getting involved into another regime Change venture and possibly
another oil war.

We’re fighting radical Islamists, but we’re also siding with Syrian opposition,
the very same radical Islamists, and there’s absolutely no guarantee that
these rebels won’t replace ISIS when it’s gone.

There’s only one Chance to avoid another Iraq: Trump and the American
nation must defeat globalist politicians and the Establishment. All we can do
now is to pray for all American soldiers to return back home alive and safe.",https://mith.umd.edu/irads/files/original/580b3a05ee5dea47b941cbbd6e1ab051.png,Anger|Being Patriotic|black|blue|civil rights|foreign policy|freedom|green|gun|guns|invader|Joy|meme|nation|photograph|soldiers|veterans|war,0,1,1,0
1326,"On Sunday evening white man with a beer in one hand and gun in another
kills 1 black women and injures 5 black people and 1 hispanic man... On
Sunday evening, a gunman opened fire on a San Diego pool party, killing one
Black woman and injuring six others. San Diego Shooting: Gunman Targets
Black People | BlackMattersUS.com blackmattersus.com",https://mith.umd.edu/irads/files/original/8cf0f9bdd08c6739ffb6157c9072c865.png,blue|BM|crime|Fear|green|gun|photograph|race,1,0,0,1
1327,"How a Black student carrying a glue gun led to a school Iockdown. The

situation in the Colgate University is far from normal. Earlier this month, the
University went on Iockdown for four hours after reports circulated of a
gunman on campus. On May 1st, 2017, an “active shooter” alert was sent to
all members of the Colgate community. You've already guessed that the...

Sword In White Hands VS Glue Gun In Black Hands | BlackMattersUS.com
blackmattersus.com",https://mith.umd.edu/irads/files/original/8e3b8da7536a18f081c5cd0f34e910cc.png,Anger|black|BM|gun|photograph|race|racial tensions|red,1,0,0,1
1328,Gorgeous print from cartoonist Lalo Alcaraz,https://mith.umd.edu/irads/files/original/922cfa241790cf3bcd3a12084b001731.png,black|Brown Power|guns|illustration|immigration|infestation|racial tensions|red|white,1,0,1,0
1349,"Our deepest condolences to the victims and families in Manchester. We also
wish people dedicate their sadness and thoughts to Syria, Flint, Bangkok or
any other country which suffered from attacks and where the government
cares only about money, not Citizens.",https://mith.umd.edu/irads/files/original/b457f542b3bdd6b4326d5108fc629e63.png,Anger|BM|brown|civil rights|darkness and light|Fear|foreign policy|green|guns|infrastructure|nation|photograph|redacted|Sadness|soldiers|war,1,0,0,1
1367,"“You can’t keep doing this. You can’t keep violating us in our own

communities,” said Deon Jones after filing a federal Civil rights lawsuit against
the Denver Police Department for nearly killing him.

Subscribe to our Channel:
https://www.youtube.com/ChannellUCszPCwUDPvDCR6VRaOCDtg

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin
Follow me on Instagram: https://www.instagram.Com/williams.and.kalvin

Follow me on Twitter: https://twitter.com/Williams8kalvin The truth about why
american police kill blacks",https://mith.umd.edu/irads/files/original/1898202097e1a1f9fa957ac6005ebc0b.png,Anger|black|civil rights|common folks|Fear|gun|illustration|police brutality|race|Sadness|video|white|Williams&Kalvin|yellow,1,0,1,0
1377,"Black Men Urge City Officials To Declare ‘State Of Emergency’ In Grand
Rapids, Michigan They have safety concerns for their community following
reports of bias policing. Black Men Urge City Officials To Declare ‘State Of
Emergency’ In Grand Rapids, Michigan | BlackMattersUS.com
blackmattersus.com",https://mith.umd.edu/irads/files/original/c743d6a343e05964bcaa43ce0104b517.png,blue|BM|Fear|guns|photograph|police brutality|race|racial tensions,1,0,0,1
1407,Those who call us illegal never taught history,https://mith.umd.edu/irads/files/original/f7b79a908a5070e5f3df0fdc0cd2c6f2.png,Anger|bald eagle|brown|Brown Power|darkness and light|guns|illustration|immigration|infestation|invader|orange|yellow,1,0,1,0
1424,Mexican women are the perfect mix of princess and warrior.,https://mith.umd.edu/irads/files/original/21c66e184f64466fad01a63d59c62ad8.png,brown|Brown Power|gun|guns|Joy|photograph|race|racial identities,0,1,0,1
1425,"WOW! Ah off-duty Los Angeles cop in Anaheim called a female student a
""cunt"" for stepping on his lawn as she walked back home from school. When
her friend stood up for her, the cop started a fight with kids, pulled a gun and
fired a shot near the 13-year-old boy. Is this starting to become a trend now?",https://mith.umd.edu/irads/files/original/632b05b66b97a03fbd7469e1f5835959.png,Anger|Blacktivist|brown|Fear|green|gun|guns|police brutality|Sadness|video,1,0,0,1
1429,"This is scary. Our Children are not safe in this world anymore. Stop police
violence. Don‘t bomb Syria. Stop the spread of war.

Their Childhood is not the most beautiful of all life‘s seasons anymore.

Our politicians won‘t care unless it happens to their families.",https://mith.umd.edu/irads/files/original/15d0e26dabd7130f343f45b16575d2a8.png,Anger|black|Fear|gun|guns|police brutality|redacted|Sadness|war|white|Williams&Kalvin,1,0,0,1
1442,"Police brutality in America gone crazy. But America is too busy bombing
countries in the Middle East.",https://mith.umd.edu/irads/files/original/9f10dea3fcde7d289fac6c5085c4a19e.png,Anger|black|Blacktivist|blue|common folks|Fear|foreign policy|guns|photograph|police brutality|red|redacted|Sadness|U.S. Flag|white,1,0,0,1
1444,"Explosion in Manchester, ISIS attack in Marawi, bomb attack in Bangkok, car
bombing in Syria — all happened in one day. This is heartbreaking and we are
praying for everyone.

Don’t you think that it is vicious cycle? Now they will bomb more in Syria to
stop terrorists. And then another bombing here and there. But these attacks
can’t bring Peace.

Stop wasting money on weapons. America, you better stay away from this
and start taking care of your own people. Within your own country.",https://mith.umd.edu/irads/files/original/8edaa5b315d306a110cd83d670e43d34.png,Anger|black|brown|Fear|foreign policy|guns|photograph|Sadness|soldiers|Williams&Kalvin|yellow,1,0,0,1
1450,"This is the story about 19-year-old Juwan Alexander Plummer.
On April 14 the Plummers’ door had been kicked in by burglars.
On April 16 Plummer, his mother, and his 14-year-old little brother did not see
the police lights because the unit was parked down the road.
Plummer called 911 to report the burglars and then grabbed his
Grandfather’s shotgun that was given to his mother for protection.
When Plummer went to the door, the soared kid fired a warning shot to fend
off the would-be burglars.
However, the shotgun b|ast hit one officer in the arm and the other in the face.

Subscribe to our Channel:
https://www.youtube.com/ChahnellUCszPCwUDPvDCR6VRaOCDtg

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin
Follow me on Instagram: https://www.instagram.Com/williamsand.kalvin

Follow me on Twitter: https://twitter.oom/Williams8kalvih The Truth about
home protection",https://mith.umd.edu/irads/files/original/af11804a781d4ca681f8aaa3494f1358.png,Anger|black|blue|common folks|Fear|guns|red|Sadness|video|white|Williams&Kalvin,1,0,0,1
1460,"This is so awful but who cares? Do you know that the United States and its
allies have killed at least 3,200 Civilians in more than 1,000 days of bombing?
Yes, it's more than nine times the 352 deaths acknowledged by the US.
military. Innocent Syrian Civilians are dying for no reason, people in America
still suffer from unemployement, injustice and police brutality, but they still
spend money for bombing the Middle East.",https://mith.umd.edu/irads/files/original/771584ea7d51e547270e8bbda8e60a47.png,Anger|blue|BM|common folks|Fear|guns|police brutality|red|Sadness|video|war,1,0,0,1
1470,"Explosion in Manchester, ISIS attack in Marawi, bomb attack in Bangkok, car
bombing in Syria — all happened in one day. This is heartbreaking and we are
praying for everyone.

Don’t you think that it is vicious cycle? Now they will bomb more in Syria to
stop terrorists. And then another bombing here and there. But these attacks
can’t bring Peace.

Stop wasting money on weapons. America, you better stay away from this
and start taking care of your own people. Within your own country.",https://mith.umd.edu/irads/files/original/453cd844eaf8a47db67bc8cdac5c7ddd.png,Anger|black|brown|Fear|guns|infrastructure|photograph|soldiers|war|Williams&Kalvin,1,0,0,1
1477,"This is so powerful and breathtaking. All my respect.
Never be afraid of protecting and supporting each other. If not us, then who?",https://mith.umd.edu/irads/files/original/52f963dec58246dba0e70d383b63031b.png,badge|black|blue|BM|brown|darkness and light|Fear|gender|guns|Love|nation|orange|photograph|police brutality|race|racial identities|red|Surprise|text,1,0,1,0
